Interval=	0.001 s
ExcelDateTime=	4.4558456458398046e+004	12/28/2021 10:57:18.005592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.99	837.19
0.991	837.34
0.992	837.19
0.993	837.66
0.994	836.72
0.995	837.19
0.996	837.34
0.997	837.19
0.998	836.56
0.999	836.72
1.0	830.47
1.001	830.31
1.002	830.00
1.003	830.00
1.004	829.53
1.005	830.16
1.006	829.84
1.007	830.47
1.008	829.84
1.009	829.84
1.01	830.16
1.011	830.47
1.012	829.38
1.013	829.84
1.014	830.47
1.015	829.69
1.016	830.16
1.017	830.31
1.018	829.84
1.019	830.00
1.02	830.16
1.021	820.63
1.022	820.63
1.023	821.25
1.024	820.47
1.025	820.78
1.026	821.09
1.027	820.94
1.028	821.09
1.029	820.94
1.03	821.25
1.031	820.94
1.032	820.63
1.033	821.09
1.034	820.63
1.035	821.09
1.036	820.78
1.037	820.94
1.038	820.94
1.039	821.09
1.04	809.53
1.041	809.22
1.042	809.53
1.043	809.53
1.044	808.91
1.045	809.53
1.046	809.38
1.047	809.53
1.048	809.22
1.049	809.53
1.05	809.38
1.051	809.69
1.052	809.38
1.053	809.22
1.054	809.22
1.055	810.16
1.056	809.22
1.057	809.53
1.058	809.38
1.059	809.06
1.06	809.69
1.061	796.09
1.062	797.19
1.063	796.09
1.064	796.88
1.065	796.72
1.066	796.88
1.067	797.03
1.068	796.56
1.069	796.72
1.07	796.88
1.071	796.88
1.072	796.56
1.073	796.56
1.074	796.72
1.075	796.88
1.076	796.88
1.077	797.03
1.078	796.25
1.079	796.72
1.08	786.09
1.081	785.94
1.082	786.09
1.083	785.94
1.084	786.09
1.085	786.25
1.086	786.56
1.087	786.09
1.088	786.25
1.089	786.41
1.09	786.56
1.091	786.09
1.092	786.41
1.093	785.94
1.094	786.25
1.095	785.94
1.096	785.78
1.097	786.25
1.098	785.94
1.099	785.63
1.1	786.09
1.101	785.47
1.102	785.63
1.103	785.47
1.104	785.47
1.105	784.38
1.106	785.00
1.107	784.84
1.108	784.84
1.109	785.31
1.11	785.63
1.111	785.00
1.112	784.84
1.113	784.84
1.114	785.31
1.115	784.69
1.116	785.16
1.117	785.16
1.118	785.63
1.119	785.31
1.12	787.66
1.121	787.97
1.122	788.44
1.123	787.97
1.124	788.13
1.125	787.66
1.126	787.66
1.127	788.13
1.128	787.81
1.129	787.81
1.13	787.97
1.131	787.81
1.132	787.81
1.133	787.50
1.134	788.44
1.135	787.81
1.136	787.97
1.137	787.81
1.138	787.97
1.139	787.81
1.14	787.81
1.141	782.97
1.142	782.66
1.143	782.50
1.144	783.59
1.145	783.13
1.146	782.97
1.147	782.50
1.148	782.81
1.149	783.13
1.15	782.97
1.151	783.13
1.152	783.28
1.153	783.28
1.154	783.13
1.155	783.28
1.156	782.66
1.157	783.28
1.158	783.13
1.159	782.97
1.16	766.88
1.161	767.34
1.162	767.19
1.163	766.88
1.164	767.03
1.165	767.03
1.166	766.56
1.167	766.72
1.168	767.50
1.169	767.19
1.17	766.88
1.171	766.88
1.172	767.03
1.173	766.88
1.174	767.03
1.175	767.03
1.176	767.03
1.177	767.03
1.178	766.88
1.179	766.72
1.18	766.88
1.181	744.06
1.182	744.84
1.183	743.75
1.184	744.06
1.185	743.59
1.186	743.75
1.187	744.84
1.188	743.59
1.189	743.59
1.19	743.91
1.191	743.75
1.192	743.13
1.193	743.91
1.194	743.75
1.195	743.44
1.196	743.91
1.197	743.75
1.198	743.75
1.199	743.91
1.2	723.75
1.201	723.91
1.202	723.59
1.203	724.38
1.204	724.22
1.205	724.38
1.206	724.38
1.207	724.22
1.208	724.06
1.209	723.59
1.21	723.91
1.211	724.06
1.212	723.75
1.213	724.22
1.214	723.75
1.215	723.91
1.216	724.06
1.217	724.38
1.218	724.06
1.219	723.59
1.22	724.22
1.221	713.59
1.222	713.59
1.223	714.22
1.224	714.06
1.225	713.59
1.226	713.91
1.227	713.59
1.228	714.22
1.229	713.59
1.23	713.44
1.231	713.91
1.232	714.22
1.233	713.75
1.234	713.59
1.235	713.75
1.236	714.22
1.237	714.06
1.238	714.22
1.239	714.06
1.24	705.47
1.241	704.84
1.242	705.63
1.243	705.16
1.244	705.31
1.245	705.31
1.246	705.16
1.247	704.69
1.248	704.84
1.249	705.31
1.25	705.63
1.251	705.31
1.252	705.47
1.253	705.47
1.254	705.31
1.255	705.63
1.256	705.63
1.257	705.47
1.258	705.31
1.259	705.31
1.26	705.31
1.261	692.03
1.262	692.50
1.263	692.50
1.264	692.97
1.265	692.66
1.266	692.19
1.267	692.50
1.268	692.81
1.269	692.81
1.27	692.34
1.271	692.66
1.272	692.50
1.273	692.81
1.274	692.66
1.275	692.50
1.276	692.81
1.277	692.50
1.278	692.81
1.279	692.97
1.28	676.72
1.281	675.94
1.282	676.56
1.283	675.94
1.284	675.94
1.285	676.56
1.286	676.41
1.287	676.72
1.288	676.25
1.289	676.09
1.29	676.41
1.291	676.56
1.292	676.88
1.293	675.78
1.294	675.94
1.295	676.25
1.296	676.25
1.297	675.94
1.298	676.56
1.299	676.09
1.3	675.94
1.301	654.84
1.302	654.06
1.303	654.84
1.304	655.00
1.305	654.69
1.306	655.16
1.307	654.38
1.308	654.38
1.309	655.16
1.31	655.31
1.311	654.84
1.312	654.84
1.313	655.31
1.314	655.31
1.315	655.31
1.316	655.16
1.317	655.16
1.318	654.69
1.319	655.31
1.32	633.91
1.321	634.22
1.322	633.75
1.323	633.91
1.324	634.22
1.325	634.22
1.326	633.59
1.327	633.91
1.328	633.59
1.329	634.06
1.33	633.59
1.331	634.22
1.332	634.38
1.333	633.91
1.334	634.38
1.335	634.38
1.336	633.59
1.337	634.38
1.338	634.38
1.339	634.06
1.34	633.75
1.341	620.00
1.342	620.00
1.343	620.31
1.344	620.00
1.345	619.69
1.346	619.69
1.347	620.31
1.348	619.38
1.349	620.16
1.35	620.16
1.351	619.84
1.352	620.16
1.353	619.69
1.354	620.00
1.355	620.00
1.356	620.00
1.357	619.38
1.358	620.47
1.359	619.69
1.36	617.03
1.361	617.19
1.362	617.19
1.363	617.03
1.364	617.03
1.365	616.72
1.366	617.19
1.367	617.03
1.368	617.19
1.369	616.88
1.37	617.03
1.371	616.88
1.372	616.72
1.373	616.88
1.374	617.19
1.375	616.88
1.376	617.50
1.377	617.34
1.378	617.03
1.379	617.03
1.38	616.88
1.381	633.59
1.382	633.13
1.383	632.97
1.384	633.75
1.385	633.75
1.386	633.75
1.387	634.06
1.388	633.59
1.389	634.06
1.39	633.44
1.391	633.59
1.392	633.59
1.393	633.75
