Interval=	0.001 s
ExcelDateTime=	4.4558443160273120e+004	12/28/2021 10:38:09.047598
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.641	620.16
0.642	620.78
0.643	620.47
0.644	620.31
0.645	620.16
0.646	620.16
0.647	620.63
0.648	624.22
0.649	624.38
0.65	624.22
0.651	624.38
0.652	624.22
0.653	624.06
0.654	624.38
0.655	623.91
0.656	624.53
0.657	624.22
0.658	624.06
0.659	623.91
0.66	623.91
0.661	623.44
0.662	624.38
0.663	623.91
0.664	624.06
0.665	624.22
0.666	624.69
0.667	623.59
0.668	625.47
0.669	625.63
0.67	625.78
0.671	625.31
0.672	625.31
0.673	625.47
0.674	625.31
0.675	625.94
0.676	625.31
0.677	625.47
0.678	624.84
0.679	625.47
0.68	625.31
0.681	625.78
0.682	625.47
0.683	625.63
0.684	625.78
0.685	625.94
0.686	625.16
0.687	625.00
0.688	623.13
0.689	623.13
0.69	623.44
0.691	622.50
0.692	622.97
0.693	623.13
0.694	623.59
0.695	623.28
0.696	622.97
0.697	623.28
0.698	623.28
0.699	623.28
0.7	623.59
0.701	623.59
0.702	623.28
0.703	622.97
0.704	622.81
0.705	623.13
0.706	623.28
0.707	623.44
0.708	620.94
0.709	621.88
0.71	621.56
0.711	621.41
0.712	621.56
0.713	621.25
0.714	621.25
0.715	621.25
0.716	622.19
0.717	621.25
0.718	621.09
0.719	621.56
0.72	621.72
0.721	621.56
0.722	622.03
0.723	621.56
0.724	621.25
0.725	622.19
0.726	621.72
0.727	621.56
0.728	622.03
0.729	622.50
0.73	622.50
0.731	622.34
0.732	621.72
0.733	622.34
0.734	622.50
0.735	622.19
0.736	621.88
0.737	622.03
0.738	622.50
0.739	621.56
0.74	622.34
0.741	622.19
0.742	622.34
0.743	621.88
0.744	622.34
0.745	622.34
0.746	622.19
0.747	622.19
0.748	622.97
0.749	623.91
Interval=	0.001000 s
ExcelDateTime=	4.4558443197877219e+004	12/28/2021 10:38:12.296592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.0	620.00
0.001	620.16
0.002	620.16
0.003	620.16
0.004	620.78
0.005	620.16
0.006	619.84
0.007	620.31
0.008	620.78
0.009	620.47
0.01	620.00
0.011	620.16
0.012	619.84
0.013	620.31
0.014	620.00
0.015	620.31
0.016	620.00
0.017	620.00
0.018	620.47
0.019	616.41
0.02	616.72
0.021	617.19
0.022	616.56
0.023	616.25
0.024	616.56
0.025	616.56
0.026	616.72
0.027	616.41
0.028	616.72
0.029	616.25
0.03	616.41
0.031	615.94
0.032	617.03
0.033	616.41
0.034	616.56
0.035	616.25
0.036	616.56
0.037	616.72
0.038	616.88
0.039	612.66
0.04	612.81
0.041	612.66
0.042	612.66
0.043	612.34
0.044	612.66
0.045	613.28
0.046	612.50
0.047	612.81
0.048	612.97
0.049	612.97
0.05	612.81
0.051	612.66
0.052	612.81
0.053	612.66
0.054	612.66
0.055	612.50
0.056	612.50
0.057	612.81
0.058	612.66
0.059	609.06
0.06	609.38
0.061	608.59
0.062	608.91
0.063	608.59
0.064	608.59
0.065	608.91
0.066	608.91
0.067	608.91
0.068	608.91
0.069	608.13
0.07	608.28
0.071	609.53
0.072	608.91
0.073	608.75
0.074	608.59
0.075	608.59
0.076	608.91
0.077	608.91
0.078	609.06
0.079	604.06
0.08	603.75
0.081	604.22
0.082	603.75
0.083	603.91
0.084	603.28
0.085	603.91
0.086	603.91
0.087	603.13
0.088	603.28
0.089	603.75
0.09	603.91
0.091	603.75
0.092	604.22
0.093	603.59
0.094	603.59
0.095	603.75
0.096	603.91
0.097	602.97
0.098	604.06
0.099	600.31
0.1	599.84
0.101	599.53
0.102	599.69
0.103	599.84
0.104	599.69
0.105	599.69
0.106	599.53
0.107	599.69
0.108	599.22
0.109	599.53
0.11	599.84
0.111	599.84
0.112	599.38
0.113	599.84
0.114	599.53
0.115	599.22
0.116	599.53
0.117	599.53
0.118	599.22
0.119	597.81
0.12	597.34
0.121	597.50
0.122	597.19
0.123	597.34
0.124	597.19
0.125	597.81
0.126	596.88
0.127	597.34
0.128	597.19
0.129	598.13
0.13	597.81
0.131	597.66
0.132	597.34
0.133	597.81
0.134	597.81
0.135	597.50
0.136	597.34
0.137	597.81
0.138	597.66
0.139	596.25
0.14	596.25
0.141	596.09
0.142	595.63
0.143	596.41
0.144	596.41
0.145	596.25
0.146	596.25
0.147	596.09
0.148	595.78
0.149	596.72
0.15	596.41
0.151	596.09
0.152	596.25
0.153	596.09
0.154	596.09
0.155	595.78
0.156	596.09
0.157	596.25
0.158	596.41
0.159	596.88
0.16	596.72
0.161	596.88
0.162	597.03
0.163	596.72
0.164	596.72
0.165	597.19
0.166	597.19
0.167	597.19
0.168	596.88
0.169	596.88
0.17	597.03
0.171	596.72
0.172	597.19
0.173	597.66
0.174	597.19
0.175	596.88
0.176	596.72
0.177	597.03
0.178	596.72
0.179	601.56
0.18	601.72
0.181	601.41
0.182	601.41
0.183	601.25
0.184	601.41
0.185	601.41
0.186	601.25
0.187	600.78
0.188	601.41
0.189	601.72
0.19	601.09
0.191	601.09
0.192	601.25
0.193	600.94
0.194	601.25
0.195	601.72
0.196	601.25
0.197	601.56
0.198	601.56
0.199	607.19
0.2	607.50
0.201	607.97
0.202	607.19
0.203	607.03
0.204	607.03
0.205	607.66
0.206	607.34
0.207	607.19
0.208	607.81
0.209	607.34
0.21	607.34
0.211	607.66
0.212	607.81
0.213	607.50
0.214	607.34
0.215	607.50
0.216	607.66
0.217	607.19
0.218	607.34
0.219	612.66
0.22	612.66
0.221	613.13
0.222	612.66
0.223	613.13
0.224	612.66
0.225	612.50
0.226	613.44
0.227	612.81
0.228	612.66
0.229	613.28
0.23	612.19
0.231	613.13
0.232	613.13
0.233	612.50
0.234	612.66
0.235	612.50
0.236	612.50
0.237	612.34
0.238	612.50
0.239	616.56
0.24	616.56
0.241	616.72
0.242	616.56
0.243	616.88
0.244	616.56
0.245	616.25
0.246	616.56
0.247	617.03
0.248	616.72
0.249	616.25
0.25	616.09
0.251	616.09
0.252	616.41
0.253	616.72
0.254	616.09
0.255	617.19
0.256	616.09
0.257	616.09
0.258	616.56
0.259	619.69
0.26	619.22
0.261	618.75
0.262	618.91
0.263	618.91
0.264	619.22
0.265	618.59
0.266	619.06
0.267	618.91
0.268	619.06
0.269	618.75
0.27	618.75
0.271	618.91
0.272	618.91
0.273	619.06
0.274	618.75
0.275	618.75
0.276	619.22
0.277	618.91
0.278	618.44
0.279	621.72
0.28	621.41
0.281	621.72
0.282	621.25
0.283	621.56
0.284	620.63
0.285	621.25
0.286	621.56
0.287	621.88
0.288	621.56
0.289	622.03
0.29	621.88
0.291	621.56
0.292	622.03
0.293	622.03
0.294	621.41
0.295	621.56
0.296	622.19
0.297	621.56
0.298	621.41
0.299	625.31
0.3	625.16
0.301	625.00
0.302	625.16
0.303	625.47
0.304	625.63
0.305	625.78
0.306	625.16
0.307	625.16
0.308	625.16
0.309	624.84
0.31	625.47
0.311	625.16
0.312	624.84
0.313	625.16
0.314	625.16
0.315	625.31
0.316	625.31
0.317	625.31
0.318	625.47
0.319	628.75
0.32	629.22
0.321	629.22
0.322	628.75
0.323	629.22
0.324	628.91
0.325	629.22
0.326	627.66
0.327	629.22
0.328	628.59
0.329	628.59
0.33	629.22
0.331	629.06
0.332	629.38
0.333	629.06
0.334	628.59
0.335	628.75
0.336	629.53
0.337	629.22
0.338	629.06
0.339	633.44
0.34	633.59
0.341	633.59
0.342	633.44
0.343	633.75
0.344	633.13
0.345	633.44
0.346	633.75
0.347	633.28
0.348	633.28
0.349	633.59
0.35	633.91
0.351	633.75
0.352	633.28
0.353	633.59
0.354	633.13
0.355	633.59
0.356	633.44
0.357	633.28
0.358	633.59
0.359	637.66
0.36	638.28
0.361	637.66
0.362	638.28
0.363	638.13
0.364	638.44
0.365	638.13
0.366	638.59
0.367	638.13
0.368	638.59
0.369	638.75
0.37	638.75
0.371	638.28
0.372	638.59
0.373	638.59
0.374	637.81
0.375	638.44
0.376	638.13
0.377	638.28
0.378	638.91
0.379	641.72
0.38	641.56
0.381	642.03
0.382	641.88
0.383	641.56
0.384	642.19
0.385	641.41
0.386	642.03
0.387	641.72
0.388	641.88
0.389	642.19
