Interval=	0.001 s
ExcelDateTime=	4.4558451867772063e+004	12/28/2021 10:50:41.375506
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.818	244.06
0.819	243.91
0.82	243.91
0.821	243.75
0.822	244.22
0.823	244.06
0.824	244.06
0.825	244.06
0.826	243.75
0.827	244.06
0.828	244.22
0.829	244.06
0.83	244.22
0.831	244.22
0.832	244.22
0.833	243.91
0.834	243.91
0.835	244.69
0.836	244.69
0.837	244.69
0.838	244.69
0.839	244.53
0.84	245.00
0.841	245.47
0.842	245.47
0.843	244.53
0.844	244.84
0.845	245.00
0.846	245.16
0.847	244.53
0.848	244.84
0.849	244.84
0.85	244.84
0.851	244.84
0.852	244.53
0.853	245.00
0.854	245.00
0.855	270.78
0.856	270.94
0.857	270.94
0.858	271.09
0.859	270.78
0.86	271.72
0.861	270.78
0.862	271.09
0.863	270.94
0.864	271.25
0.865	271.25
0.866	271.25
0.867	271.56
0.868	270.78
0.869	270.47
0.87	271.56
0.871	270.78
0.872	272.03
0.873	270.94
0.874	270.94
0.875	316.88
0.876	316.88
0.877	317.34
0.878	316.88
0.879	317.50
0.88	316.25
0.881	316.88
0.882	316.56
0.883	317.03
0.884	316.56
0.885	316.41
0.886	317.19
0.887	316.25
0.888	316.41
0.889	316.88
0.89	316.56
0.891	316.72
0.892	316.25
0.893	317.34
0.894	315.94
0.895	361.41
0.896	361.56
0.897	361.09
0.898	361.88
0.899	360.94
0.9	361.56
0.901	360.94
0.902	361.09
0.903	361.25
0.904	361.25
0.905	361.56
0.906	360.78
0.907	361.09
0.908	361.56
0.909	361.25
0.91	361.56
0.911	361.09
0.912	361.88
0.913	361.41
0.914	361.72
0.915	402.50
0.916	402.19
0.917	402.66
0.918	402.03
0.919	402.34
0.92	402.34
0.921	402.03
0.922	402.50
0.923	402.50
0.924	402.50
0.925	402.03
0.926	402.50
0.927	402.34
0.928	402.34
0.929	402.66
0.93	401.72
0.931	402.50
0.932	402.34
0.933	402.66
